repo_name,function_name,language,file_path,line,signature_excerpt,visibility,invocation_type,called_by,reference_count,string_reference_count,live_confidence,notes,owner_review,status
Solution,truncate,js,electron-tray/main.js,44,"function truncate(text, limit) {",internal,CLI,"src/commands/handoff.js (2 call refs, 0 string refs); tests/handoff.test.js (2 call refs, 0 string refs)",4,0,high,,,
Solution,pickCurrentAccount,js,electron-tray/main.js,50,function pickCurrentAccount(accounts) {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,refreshAccounts,js,electron-tray/main.js,60,async function refreshAccounts() {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,buildMenu,js,electron-tray/main.js,74,function buildMenu() {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,updateTray,js,electron-tray/main.js,150,async function updateTray() {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,initializeTray,js,electron-tray/main.js,158,async function initializeTray() {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,handleDaemonEvent,js,electron-tray/main.js,167,function handleDaemonEvent() {,internal,CLI,,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,init_collection,py,index_repo.py,102,def init_collection(dim=1024):,internal,Direct,,0,0,low,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,is_text_file,py,index_repo.py,116,def is_text_file(path):,internal,Direct,,0,0,low,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,chunk_text,py,index_repo.py,135,"def chunk_text(text, chunk_size=1000):",internal,Direct,,0,0,low,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,embed,py,index_repo.py,145,def embed(text):,internal,Direct,"search_repo.py (2 call refs, 0 string refs); src/shared/retrieval/vector-client.ts (2 call refs, 0 string refs); src/llm/mistake-tracker.js (1 call refs, 0 string refs); src/llm/embeddings.js (2 call refs, 0 string refs); src/llm/experience-db.js (1 call refs, 0 string refs); src/llm/prompt-generator.js (2 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (0 call refs, 1 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (0 call refs, 3 string refs); tests/agents/tools/vector-client.test.ts (5 call refs, 1 string refs); tests/shared/retrieval/symbol-search.test.ts (0 call refs, 3 string refs); tests/shared/retrieval/vector-client.test.ts (8 call refs, 1 string refs); tests/llm/embeddings-coverage.test.js (3 call refs, 0 string refs); playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js (0 call refs, 1 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (0 call refs, 3 string refs)",26,13,medium,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,chunk_id,py,index_repo.py,157,"def chunk_id(path, chunk_no):",internal,Direct,,0,0,low,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,remove_existing_file,py,index_repo.py,166,def remove_existing_file(path):,internal,Direct,,0,0,low,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,index_file,py,index_repo.py,183,def index_file(path):,internal,Direct,,0,0,low,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,scan_repo,py,index_repo.py,229,def scan_repo():,internal,Direct,,0,0,low,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,parseToolArgs,ts,live-harness.ts,5,"function parseToolArgs(argsString: string): Record<string, string> {",internal,Direct,"src/agents/sub-agent.ts (2 call refs, 0 string refs)",2,0,medium,,,
Solution,should_skip,py,output/repo_function_audit.py,42,def should_skip(path: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,is_text_code,py,output/repo_function_audit.py,52,def is_text_code(path: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,safe_read,py,output/repo_function_audit.py,55,def safe_read(path: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,line_number,py,output/repo_function_audit.py,61,"def line_number(text, idx):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,visibility,py,output/repo_function_audit.py,64,"def visibility(name, path, line_text):",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (0 call refs, 1 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (0 call refs, 1 string refs); playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js (0 call refs, 1 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (0 call refs, 1 string refs)",0,4,high,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,invocation_type,py,output/repo_function_audit.py,74,"def invocation_type(path, content):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,parse_functions,py,output/repo_function_audit.py,86,"def parse_functions(path: Path, content: str):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,find_references,py,output/repo_function_audit.py,129,"def find_references(all_files, function_name, own_path):",internal,"CLI, Handler, Scheduler, Test","tests/test_repo_function_audit.py (1 call refs, 0 string refs)",1,0,high,,,
Solution,confidence,py,output/repo_function_audit.py,142,"def confidence(visibility, callers, invocation_type):",internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,repo_name,py,output/repo_function_audit.py,153,def repo_name(root: Path):,internal,"CLI, Handler, Scheduler, Test",,0,0,high,"No external references found; review for dead code, reflection, or framework wiring.",,
Solution,main,py,output/repo_function_audit.py,156,def main():,internal,"CLI, Handler, Scheduler, Test","scripts/install.js (2 call refs, 0 string refs); scripts/measurement-checkpoint.ts (2 call refs, 0 string refs); scripts/architecture-sync-check.js (2 call refs, 0 string refs); src/internal/config.js (0 call refs, 1 string refs); src/agents/cli.ts (2 call refs, 0 string refs); src/knowledge/ingest/ingest-repository.js (2 call refs, 0 string refs); src/knowledge/ingest/ingest-sprint-history.js (5 call refs, 0 string refs); src/daemon/daemon-runner.js (2 call refs, 0 string refs); src/installer/hw-probe/test-probe.ts (2 call refs, 0 string refs); src/mcp/server.ts (2 call refs, 0 string refs); src/main/ipc/__tests__/ipcAdapter.test.ts (0 call refs, 4 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (0 call refs, 2 string refs); tests/git-monitor-coverage.test.js (0 call refs, 9 string refs); tests/cli_debug.test.js (0 call refs, 2 string refs); tests/sprint77-build-and-scope-guard.test.js (2 call refs, 0 string refs)",53,28,high,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,Bt,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/uiMode.C2Efnu2P.js (3 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (8 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (15 call refs, 0 string refs); playwright-report-ui/trace/uiMode.C2Efnu2P.js (3 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (15 call refs, 0 string refs)",44,0,high,,,
Solution,De,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/sw.bundle.js (5 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (6 call refs, 0 string refs); playwright-report-ui/trace/sw.bundle.js (5 call refs, 0 string refs)",16,0,high,,,
Solution,E,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/uiMode.C2Efnu2P.js (2 call refs, 0 string refs); playwright-report/trace/index.BCnMPevh.js (2 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (5 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (16 call refs, 0 string refs); playwright-report-ui/trace/uiMode.C2Efnu2P.js (2 call refs, 0 string refs); playwright-report-ui/trace/index.BCnMPevh.js (2 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (16 call refs, 0 string refs)",45,0,high,,,
Solution,Er,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (3 call refs, 0 string refs)",3,0,high,,,
Solution,F,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/index.BCnMPevh.js (1 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (15 call refs, 1 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (0 call refs, 2 string refs); playwright-report-ui/trace/index.BCnMPevh.js (1 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (0 call refs, 2 string refs)",17,5,high,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,Fe,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (13 call refs, 0 string refs)",13,0,high,,,
Solution,Ft,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/sw.bundle.js (1 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (14 call refs, 0 string refs); playwright-report-ui/trace/sw.bundle.js (1 call refs, 0 string refs)",16,0,high,,,
Solution,G,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/uiMode.C2Efnu2P.js (5 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (67 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (10 call refs, 1 string refs); tests/llm/knowledge-graph-branches.test.js (0 call refs, 2 string refs); playwright-report-ui/trace/uiMode.C2Efnu2P.js (5 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (10 call refs, 1 string refs)",97,4,high,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,Ie,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/uiMode.C2Efnu2P.js (2 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (6 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (25 call refs, 0 string refs); playwright-report-ui/trace/uiMode.C2Efnu2P.js (2 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (25 call refs, 0 string refs)",60,0,high,,,
Solution,It,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (4 call refs, 0 string refs)",4,0,high,,,
Solution,K,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/uiMode.C2Efnu2P.js (1 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (6 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (4 call refs, 1 string refs); playwright-report-ui/trace/uiMode.C2Efnu2P.js (1 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (4 call refs, 1 string refs)",16,2,high,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,Me,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (42 call refs, 0 string refs)",42,0,high,,,
Solution,Mt,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/sw.bundle.js (3 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (9 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (16 call refs, 0 string refs); playwright-report-ui/trace/sw.bundle.js (3 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (16 call refs, 0 string refs)",47,0,high,,,
Solution,Ne,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/sw.bundle.js (6 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (22 call refs, 0 string refs); playwright-report-ui/trace/sw.bundle.js (6 call refs, 0 string refs)",34,0,high,,,
Solution,P,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (55 call refs, 0 string refs); tests/storage/storage-monitor-coverage.test.js (0 call refs, 1 string refs)",55,1,high,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,Pt,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/uiMode.C2Efnu2P.js (1 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (7 call refs, 0 string refs); playwright-report-ui/trace/uiMode.C2Efnu2P.js (1 call refs, 0 string refs)",9,0,high,,,
Solution,Qe,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (21 call refs, 0 string refs)",21,0,high,,,
Solution,Re,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (11 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (5 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (5 call refs, 0 string refs)",21,0,high,,,
Solution,Rn,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (3 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (10 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (10 call refs, 0 string refs)",23,0,high,,,
Solution,Rt,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/uiMode.C2Efnu2P.js (2 call refs, 0 string refs); playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (4 call refs, 0 string refs); playwright-report-ui/trace/uiMode.C2Efnu2P.js (2 call refs, 0 string refs)",8,0,high,,,
Solution,T,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (13 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (4 call refs, 2 string refs); tests/browser.test.js (0 call refs, 4 string refs); tests/security-overview-ai-explain-coverage.test.ts (0 call refs, 18 string refs); tests/security-overview-coverage.test.ts (0 call refs, 2 string refs); tests/ai.test.js (0 call refs, 7 string refs); tests/ui/dashboard.test.js (0 call refs, 7 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (4 call refs, 2 string refs)",21,42,high,String-based references detected; check dynamic dispatch/config wiring.,,
Solution,Te,js,playwright-report-ui/trace/assets/codeMirrorModule-Ds_H_9Yq.js,1,"import{v as Ju}from""./defaultSettingsView-D31xz8zv.js"";import""./urlMatch-BYQrIQwR.js"";var vi={exports:{}},Zu=vi.exports,pa;function mt(){return pa||(pa=1,(function(ct,xt){(function(b,pe){ct.exports=pe()})(Zu,(function(){var b=navigator.userAgent,pe=navigator.platform,_=/gecko\/\d/i.test(b),te=/MSIE ",internal,"CLI, Handler, Scheduler, Test","playwright-report/trace/assets/codeMirrorModule-Ds_H_9Yq.js (9 call refs, 0 string refs); playwright-report/trace/assets/defaultSettingsView-D31xz8zv.js (1 call refs, 0 string refs); playwright-report-ui/trace/assets/defaultSettingsView-D31xz8zv.js (1 call refs, 0 string refs)",11,0,high,,,
